name,Tc
Nb0.4Ti0.4V0.2,7.6
La3Te4,4.0275
Fe2As2Sr4V2O6,27
Hg0.5Br1Bi2Ca1Cu2OY,0
Gd0.002Th0.998,0.714
Nb0.4Zr0.6,8.86
Li1.2Ti1.8O4,0
La1.8Sr0.2Cu0.95Ni0.05O4,0
Fe2As2Sr4Mg0.6Ti1.4O6,29
Ir0.99V0.01,0.11
Mg0.79Al0.21B2,27.1
Cu0.06Ta1S2,4.16
La1Ni1Ga2,1.97
Nb2.985Hf0.015Al1,18
Ca1Ba1La1Cu3O6.97,64
Rh3Y7,0
Y2I0.6Br1.4C2,6.4
Au0.3Te0.7,1.99
Ho0.5Dy0.5Ni2B2C1,5.905
Dy1Ba2Cu3O6.68,90
Ir0.66Mo0.34,0.25
Er1Ba2.03Cu3.05O7,90
Si10.9V3C0.1,16.4
Nb25Ti75,7.2
Rh1W1,3.37
Ca0.2Ba1.55La1.25Cu3O6.98,10.4
Dy0.9Tm0.1Ni2B2C1,4.55
Cu1Th2,3.465
Rh1Y2,0
Y1Ba1.25Sr0.75Cu3O6.928,85.5
Er0.9Gd0.1Rh4B4,6.88
Y1Ba2Cu2.7Ni0.3O6.9,46
In1.015Te1,3.51
Dy1Ba2Cu2.7Ga0.3O6.77,39
Pd0.7Se0.3,2.04
Cu0.81Ge0.19,0.24
Ga1Mo3,0.76
Hg1Ba2Cu0.97Zn0.03O4.052,69
Hg1Ba2Cu1O4.14,0
C24K1,0
Y1Re0.1Ba2Cu2.9O7,91.5
V0.75Ge0.2Al0.05,10.3
La0.6Pr0.4Ba1.5Sr0.5Cu3O6.91,0
Tb4Rh6Sn19,0
Mg1C1Ni2.99Mn0.01,0
V2Hf0.84Nb0.16,10.67
Ge1.85La1,2.17
Ba1Ti2Sb1.2Bi0.8O1,0
Ag2Se1,0
Nb0.72Pd0.18W0.1,1.5
La2Cu0.98Zn0.02O4.099,19.2
La1.7Sr0.3Cu1O3.9,0
La0.05Ce0.95Ru2,7.181
Lu4.5Sc0.5Ir4Si10,6.06
La2Cu1O4.047,29.7
La1Sn3,6.358285714
Pd1Sn2,3.34
Ca1Fe2.94Co0.06As2,17
B2.4Nb1,9.96
Ba1Ni2Ge0.8P1.2,1.38
Bi2Sr1.6Ca1.2Y0.2Cu2O8.26,89.1
Mo64Ru16P20,7.31
Zr70.2Ti7.8Ni22,3.32
K0.27O3W1,0.5
Y1Ba2Cu2.7Co0.3O6.93,16.9
Mo1.935Zr0.065B1C1,6.2
Tl0.5Pb0.5Sr4Cu2C0.9N0.1O7,76
La0.8Hf0.2Bi1S2O1,2.36
Ta0.05V0.095,4.3
Y1Ba2Cu1O8,82.25
Ru1Sr2Gd0.91Nd0.09Cu2O8,23.5
Bi2Cu1O4,0
Bi0.16Pb0.35V0.05Sr2Ca2Cu3O10.12,103.7
Cd0.2Mg0.08,0
La0.6Y0.4,1.29
Tl1.8Ba2Ca2.2Cu3O9.92,112
Ru0.9Sr2Er1Cu2O7.8,23
C1S1,9
La1.85Sr0.15Cu0.8Zn0.2O4,0
Y0.85Ca0.15Ba2Cu3O6.58,80.6
Pr1Ba1.8Sr0.2Cu3O6.97,0
Ho1Co3B2,0
Pd0.285Zr0.61O0.105,2.09
La0.2Th0.8Ni1C2,4.2
Ga3Ti1,0
Y1Ba1.9Ca0.1Cu4O8,85.4
La0.5Sm0.5Ba1Ca1Cu3O7,66
Er1Ba2Cu3O6.67,85
Tl2Ba2Cu1O6.164,0
Tm2Cu1O4,0
Nd1.5Ba1.5Cu3O7.05,0
Rh0.4Zr0.6,7
V0.65Ge0.1Al0.25,7
La0.2Th0.8,1.87
Li1.1Ti1.9O4,10.05
Nb25Ti74Ta1,7.55
C1Nb0.1Zr0.9,4.2
La1.8Sr0.2Cu0.95Fe0.05O4,0
Tm1Fe4P12,0
Tm1Ni1.88Co0.24B2C1,1.6
Ce1Co1In4.96Cd0.04,2.05
Sn0.57Pb0.38In0.05Te1,0.703
Pr0.98La0.02Os4Sb12,1.8
Rh41Zr59,2.44
La1.425Nd0.4Sr0.175Cu1O4,25
In2Mo6Se6,1.425
Th1Ir3B2,2.09
Gd1.1Nd0.75Ce0.15Cu1O4,0
Cu1Si1,0
V0.75Si0.2Al0.05,11.8
Ir0.95Rh0.05,0.075
Pt3V1,0.254
Ag7F4O8B1,0.15
As2V1,0
C2Cr3,0
Bi0.9Sb0.1,5.2
Gd0.02Pr1.83Ce0.15Cu1O4,18.5
Y1Ba2Cu2.91Zn0.09O6.6,6
Ta0.0355V0.9645,4.55
Ru1Sr2Dy1.5Ce0.5Cu2O10,0
La0.95Pr0.85Sr0.2Cu1O4,27
La1.7Gd1.3Ca1Ba2.2Sr0.8Cu6.44In0.56O16.6,30
Ca0.1Ba1.65La1.25Cu3O7.03,29.9
Ba0.257K0.743Bi1O3,0
La7Ir3,2.33
Pd2Ge1Y1,0
Ce0.005La0.995,4.935
In0.75Sn0.25,5.95
Ba1Fe1.81Zn0.08Co0.11As2,11
Zr1Ni1.5V0.5,0.43
B0.67Mg0.33,6.1
Ba4Ca1Cu2.38S0.5O9.52,0
La3Ga1C1,0
La0.9Ce0.1Ru2,3.012
Mo0.3U0.7,1.97
La1Fe1As1F0.06O0.94,18
Nb2In1C1,7.5
La1.675Nd0.125Sr0.2Cu1O4,0
Ba0.91Ce0.09Fe2As2,4.12
Ce1Pt2.94Ni0.06Si1,0.545
Nb41.25Ta13.75Ir45,4.35
La1.75Sr0.25Cu1O3.921,19.6
Sm1.844Ce0.156Cu1O4,16.4
C1Mo0.8Ta0.2,8.7
Y1Ba2Cu3.99Ni0.01O8,78.4
Bi1,5.867142857
Hg3Zr1,3.28
Y2Pd1Si3,0
Sr1Fe1.5Ru0.5As2,10.25
La3.5Ca2Ba3.5Cu7O16.415,0
Pb0.987Tl0.013Te1,1.32
Sm1La0.8Sr0.2Cu1O3.925,19.6
Sn0.8075Pb0.1425In0.05Te1,2.81
Y1Ni1.94Co0.06B2C1,11.8
Y1Ba2Cu2.98Ni0.02O6.95,87.5
Nd2Cu1O3.5,0
La1Nd0.87Ce0.13Cu1O3.975,16.8
Bi2Sr2Ca0.65Y0.35Cu2O8.3,74
V3Ga0.793Sb0.207,6.9
Al0.3Be0.7,6.5
Pb0.6Cu0.4Sr1La1Cu1O5.06,37.8
C0.05Nb5Si3,0
Pd1.05Te2,1.77
Pr1.85Ce0.15Cu0.98Zn0.02O4.065,18.01
Li2B1Pd0.9Pt2.1,2.31
Nd1.3Ba1.3Sr0.4O6.828,35
Y1Ni1.86Fe0.14B2C1,6.2
As1Ge1Mo1,0
In1.1Te1,2.8
Bi2Sr2Ca0.9Y0.1Cu2O8.2,89
C3Ho0.4Th1.6,5.5
Ir0.8Rh0.2,0.03
Er4Rh6Sn19,1.2
B2.5Nb1,6.4
V2Ir1B2,1.12
Co0.038Mo99.962,0.22
Tm1Ba2Cu3O6.94,89.88
La0.9Ba1.5Ca0.6Cu3O6.74,73
Sc0.7Y0.3Ni2B2C1,14.5
La1.2Ba1.8Cu3O7.3,27
Bi1Pd1Te1,1.2
Ba1Fe1.64Ru0.36As2,8.43
Tm1Ni1.98Co0.04B2C1,9.2
Ba0.7K0.3Fe1.72Co0.28As2,12
Ga5V2,3.57
Ba0.5K0.5Fe2As2,35.28
La2Ba4Cu6O13.8,65
Be2W1,0
Th0.25Y0.75,0
Fe1.02Te0.5Se0.5,13.6
Fe1Se0.4Te0.6,14.1
La1.875Ba0.05Sr0.075Cu1O4,15.25
Y1Sr2Cu2.75Re0.25O7.3,49
La0.8Y0.2Fe0.997Mn0.003As1F0.11O0.89,28.9
B6Yb1,0
Ho1Fe4P12,0
Nb0.77Zr0.13Ti0.1,0
Ca9.39Pr0.61Pt3Fe10As18,19.5
Au0.99In0.01,0
Y1Ba2Cu3O6.773,71.2
K0.95Bi1.05O3,8.1
Ca0.82La0.18Fe1As1.99P0.01,39
C1Hf0.5Nb0.5,4.8
Pr1.9Sr1.1Cu2O6.11,0
La0.97Gd0.03Ru2,2.73
Y1Ba2Cu2.91Zn0.09O6.95,56
Ce1Ru1.97Co0.03,3.5
Mo0.1Ti0.9,3.25
Pr0.89La1Ce0.11Cu1O4,24.6
K0.8Fe1.979Mn0.021Se2,31
V0.75Ge0.1875Al0.0625,11.4
Eu1.3Ba1.7Cu3O6.983,0
Fe1Sr2Y1Cu2O7.66,43.5
Tl2Ba2Ca0.9Ce0.1Cu2O8,100
Pd1Sn4,0
Au0.988Pd0.012Ga2,1.25
Y1Ba2Cu2.95Zn0.05O6.63,25
Pd1Te1,3.01
Nd1Sr2Gd1.5Ce0.5Cu2O10,0
C3Nd0.2Th1.8,0
Nb0.9Ti0.1,9.61
Ca0.8La0.2Fe0.9558Co0.0442As2,35.1
Sr15.9Ca7.6Cu17.6C3.3B2.6O53,105
Y1Ba1Sr1Cu3O6.9,92
La1Fe0.9Rh0.1As1O1,14
Ba1Ti2Sb1.6Bi0.4O1,3.47
Nd1.85Ce0.15Cu0.95Co0.05O4,0
Au1La1,0
Nd0.9Pr0.1Ba2Cu3O6.75,35.9
Ag0.1Tl0.9,3.57
Ga22Nb78,15.6
Er3Ru4Ge13,0
Mo0.98Nb0.02Ga4,8
Ca1Ba1La1Cu2.5Ni0.5O6.812,0
Pt1Sb1,2.1
Li0.33V2O5,8.5
Ta0.85W0.15,1.95
In0.8Tl0.2,3.223
Ti0.588V0.392Fe0.02,6.79
Ru1Sr2Ho1.5Ce0.5Cu2O10,0
Au5Cd8,0
La1.72Nd0.2Ba0.08Cu1O4,16.9
Pr1Ba1Cu1B1O5,0
Gd0.71Pr1.14Ce0.15Cu1O4,8.1
C1K1,0.55
Cu2Mo6S6O2,9
La1.6Er0.4Ba2Ca0.8Cu4.8O11.424,76
In0.25Tl0.75,3.64
Bi4.4Sr3.6Ca2Cu4OY,83.6
Lu0.92La0.08Ni2B2C1,13.6
Bi1.5Pb0.5Sr1.7La0.3Cu1O5.993,15.6
Hf0.33Nb0.33V0.33,6.6
Nd1Ba2Cu3O6.67,29
La0.85Ca0.15Nd1Cu1O4,23
Lu4.5Tm0.5Ir4Si10,2.84
As1Pd7,0
Ce1Ni1Sb2,0
In0.3W1O3,0
Sr11Ca10Cu24O41,3
La0.85Ce0.15Ru2,2.444
Be13Ge1,0
Nb2.895W0.105Al1,16
N1Pr1,0
Zr1Ru0.95Rh0.05P1,6.15
P1S1Ta1,0
Na1Fe0.9Co0.1As1,0
Bi2Sr2Ca0.4Gd0.6Cu2O8,0
C0.97Ta1,11.84
Nb0.94Ta0.06,8.76
Pt1Si1,0.88
Nb3Rh0.1Os0.9,0
Tl1Ba2Pr1Cu2O7,0
Bi2Sr1.3Gd0.7Cu1O6.402,0
Ru0.5V0.5,0
Tl0.5Pb0.5Sr2Ca0.8Y0.2Cu2O7,105.2
Mg0.996Cu0.004B2,38.11
La1.5Nd0.5Ca1Ba2Cu4.95Mo0.05O11.345,76
H1.96La1,0
Nb3Al1,0
Sr4V3O9.44,0
B1I3,1.86
Nb79.5Sn2.1Al6.1Ge12.3,9.4
Cu3N1,0
Y0.6Pr0.4Ba2Cu3O6.85,27.8
Bi0.07Pb0.93,7.7
Nb0.26U0.74,1.85
Pd1Zr3,2.96
Cr0.945V0.055,0
Y0.6Ca0.4Ba1.6La0.4Cu3O6.95,82
Hg1Tl1Ba2Ca3Cu4O12,110
Y1Ba2Cu2.8Fe0.2O6.85,57.7
Nd1.85Ce0.15Cu0.992Ni0.009O4,0
Er0.9Tb0.1Ni2B2C1,8.52
Fe2As2Ca5Al1.5Ti1.5O9,15
Ga1N1,2.925
B5Nb1.8Zr0.2,5.9
Yb1Al1B4,0.08
Sm1Fe1As0.47P0.53H0.09O0.91,10.5
Cu0.98Co0.02Rh2S4,1
Lu5Ir4Si8Ge2,6.6
Y0.7Ca0.3Sr1.5Ba0.5Cu2.8Cr0.2O7,41
Y0.6Pr0.4Ba2Cu3O6.929,45.05
Hf1V2D0.5,5.93
In1,3.549542857
Ga2La1,0.575
Er1Sr2Cu2.85Re0.15OY,47
Sr1Si1.9Ni0.1,2.3
La1.85Sr0.15Cu0.9Mg0.1O4,29.6
Sc0.1Zr0.9,0
Bi2Sr1.9La0.1Ca1Cu2OY,85.04
Hg0.9W0.1Ba2Cu1O4.2,89
Sn18.43Er4.57Rh6,0.97
Sb1.16S5.16Ta2,3
Sr1.5Ba0.5Y1Cu2.8Ga0.2O6.96,32
Nd0.1La1.7Sr0.2Cu1O4,35
La0.95Ce0.05Ru4P12,6.8
Co1Zr1,0
Br2,1.4
La3Ca0.2Cd0.8Ba3Cu7O16.261,0
Cr1Ge1,0
Al0.22La0.78,4.3
Mg0.55Al0.225Li0.225B2,25.6
Ru0.97Co0.03Sr2Gd1CuO8,13
Nb0.75Al0.185Ge0.065,20.26
Sm1Ba2Cu2.9Zn0.1O6.83,29
Ce1Pt0.2Ru1.8,3.4
Y0.9Ca0.1Ba1.6Sr0.4Cu4O7.8,85.5
Sm1Fe0.94Ni0.06As1O1,9
Y0.95K0.05Ba2Cu3O6.6,89.4
Tl0.5Pb0.5Sr2Ca1Cu2.95Zn0.05O7,73
Ga0.255V0.745,13.9
Mg0.85Na0.15B2,38
Pr1.6Ba1.4Cu3O7.23,0
C2Rh1U2,0
Mo1.75Ru1.25B2,3.7
Zr1P1.6S0.4,4.36
Ca2Cu1Cl2.25O2,31
Sr2Cu1C0.85B0.15O5,32
Co1V3,0
Pr1.9Sr0.7Ca0.4Cu2O6.034,0
Au0.28Te0.72,1.96
Ca1Si2.2,1.37
Hg0.97Tl0.03,4.109
Ni2V1Al1,0
Pb1.14Ta2S5.14,3.3
Y1Ba2Cu2.745Fe0.255O7.08,53
Na1Fe0.979Co0.021As1,19.4
Mg8.8Al0.2Si5,0
Sm1Fe0.89Ir0.11As1O1,18.3
Th1.2Er0.8C3,7
Er0.03La0.97,4.49
Y1Ru1B4,1.38
Bi2Sr1.3Tb0.7Cu1O6.399,0
Y1Ba2Cu3O6.31,0
Sm0.9Pr0.1Ba2Cu3O6.75,36.3
Ce1Fe1As0.55P0.45F0.05O0.95,15
Ba0.788K0.212Fe2As2,19
Y1Ba2Cu2.84Fe0.16O6.959,53
Al0.188V0.812,0
Y1Ba1.8La0.2Cu4O8,44
Y1Ba1.9Sr0.1Cu4O7.9,78
La1Ir2B2C1,0
Pd2Se1,2.2
Rh0.06Zr0.94,5.866666667
Ce1Fe1As1H0.065O0.935,41.1
Ba1Fe1.902Mo0.098As2,0
Ir2Zr1,4.1
Y1Ba2Cu2.91Zn0.09O6.5,0
Be3Nb1,0
La1Ni1B1N1,1.96
Ce1Co1In4.94Sn0.06,1.565
Y1Pd2Pb1,4.13
Nb1Si2,0
Dy2Ir3Si5,0
Ca10Pt4.6Fe9.4As18,22.5
Li0.99Fe1.01As1,14
Nb2Pd0.67Se5,1.2
Bi2K1,3.575
Dy1Ba2Cu2.94Zn0.06O6.9,62
La6.4Ca1.6Cu6Ni2O20,0
Ir0.89Rh0.11,0.06
Lu1Ni1B0.8C1,2.6
Pr1.4Ba1.6Cu3O7.11,0
C1.45U0.15Y0.85,0
Pb4Ag1Bi12Se23,0
Nb2Si1,0
B2.34Nb1,9.16
Co7.32Ga25V67.68,5.03
Nd1Os4Sb12,0
Hf1V2H0.4,8.42
La1.5Nd0.5Ca1Ba2Cu5O11.583,79
Hg1Ba2Cu1O4.052,82
Cu0.05V0.95,3.85
Y0.8Ca0.2Ba2Cu3O6.12,0
Nb3Rh0.5Os0.5,0
Fe1Te0.54Se0.45S0.01,13.3
C8Rb1Hg1,1.41
Sm1.87Ce0.13Cu1O4,0
Ho1Rh3Ru1B4,6.35
Y0.9Fe0.1B6,3.3
Co1,0
Ir3La7,2.28
Mo0.52Re0.48,11.1
Mo0.059Zr0.941,4.15
Pr0.6Ca0.4Ba1La1Cu3O7.29,0
N0.92Nb1,16.5
Cs0.005W1O3,5.9
Nb1Se0.2Te0.8,0
Ho1Rh4B4,0.7
Bi1Ir1,0
Fe1.04Se0.33Te0.67,14.1
V3Ga0.9Sn0.1,10.7
Tm1Ba2Cu3O6.72,64.5
Ca0.81Nd0.19Fe1As2,11
Sr2Cu1F2.6O2,0
Y1La0.2Ba1.8Cu3O7.49,90.4
Sn0.6175Pb0.3325In0.05Te1,1.6
Sr0.88La0.12Cu1O1.97,42.4
U1Ir2Si2,1.1
Th0.05Zr0.95,0.73
Bi2Sr1.6Nd0.4Cu1O6.32,23.1
Ba1Fe1.8Ni0.2As2,6.4
Lu2Ir3Si4.9Ge0.1,7.74
Na3Mo15Se19,0
Ti1.38V1.62Sb1,1.49
Dy1Ba2Cu2.6Fe0.4O7.09,0
Be2Ta3,1
Ag7B1F4O8,0.15
Hg0.5In0.5,3.81
Mo0.025Ti0.975,1.8
V2.7Mn0.3Si1,11.9
Bi0.165Mo0.165Cu2.67Sr2Y1O7.21,0
La3Pr0.3In1,6.2
Pb2Ba2Cu2Ta1O8Cl,0
Ce1Rh1Si3,0.914
Hg0.8Mo0.2Ba2Cu1O4.4,74
Ba1Pb0.78Bi0.22O3,10.3
Tl0.5Ba2Ca0.3Be1.7Cu3.5O7.685,115
Nb0.71Al0.203Ge0.087,0
Ce1Ir0.956Pt0.044In5,0.429
Ba0.5K0.5Fe1.9Cu0.1As2,22.29
Ag0.1In0.9Te1,1.2
Ba2Cu1.2Co2.4O2,0
Ce1Rh0.25Ir0.75In5,0.63
Ag0.865Sb0.135,0.014
Ta1,4.3769
Hg0.5Bi0.5Sr2Ca2Cu3O8.35,107
Nb3Sn0.92Al0.08,17.9
Cu0.844Sb0.156,0.067
Ga26.5V73.5,13.6
Y1Ba1.38Sr0.62Cu4O8,0
Ba0.65K0.35Fe2As2,38
Eu1Pt1Si3,3.7
Tm1Ir3.6Rh0.4B4,1.48
Y1CaSr1.5Ba0.5Cu2.8Cr0.2O7,0
Ce1Fe1As1O1,0
Sr1.7Na0.3Cu1C1O5,0
Y0.9Pr0.1Ba2Cu3O6.965,85
Fe1Te0.57Se0.43,15
Ce1Bi1S2F0.9O0.1,6.855
Y1Ba2Cu2.79Zn0.21O6.97,14.2
Ba1Ni2As2,0.783333333
Cs2Cr3As3,2.025
Nd1.7945Y0.0555Ce0.15Cu1O4,19
Nd1Ir1Si1,0
Sr2Mg0.3Ti0.7Fe1As1O3,36.7
Ce1Bi1S2F0.25O0.75,0
Bi2Sr2Ca0.25Y0.75Cu2O8.41,0
Cr0.2Nb0.8,0
Mn1Re1,0
Fe0.5Ru0.5,0
Tm2Cu2O5,0
Bi1Pb1Sr2Y0.65Ca0.35Cu2O8,76
Nb0.95Mo0.05C1,12.1
La1.85Sr0.03Ca0.066Ba0.054Cu1O4,24
Pb0.5Sr2Ca0.5Nd0.5Cu2.5O7,60
Ca1.9K0.1Cu1Cl2O2,18
Ba0.47K0.53Bi0.979Pr0.021O3,4.5
La1Fe0.8Zn0.2As1F0.15O0.85,25.5
Cs1,0.75
Gd1Ba2Cu3.96Fe0.04O8,0
C1.45Y0.9Zn0.1,13
U1Pt2.85Pd0.15,0
Hf0.36Nb0.62Zr0.02,7.75
Sr0.42K0.58Fe2As2,36
Co35.38Zr64.62,2.67
Ba0.8K0.2Bi1O3,0
Ce1Rh0.07Co0.93In5,1.89
Ho0.3Lu0.7Ni2B2C1,13.3
C1.45Cr0.1Y0.9,12.4
Al0.75Ge0.25Nb0.003,20.7
W5Si1B2,5.8
Ca0.4Ba1.15La1.45Cu3O7.12,7.6
Pr1V2Al20,0.029666667
Y1Ba2.01Cu2.81Ni0.19O6.7,65
Hg0.5Fe0.5Sr2Y0.6Ca0.4Cu2O6.7,46
C1Rh1,1.666666667
Y1Ba2Cu2.985Zn0.015O6.95,86
Ni0.011V0.989,3.82
Yb3Co4Sn13,2.5
La1Ba1.75Ca0.25Cu3O6.951,80
